Weight Class	Team Name 1	First Name 1	Last Name 1	Score 1	Subscore 1	Team Name 2	First Name 2	Last Name 2	Score 2	Subscore 2	Source
	Judo Straßwalchen		Adam			ASKÖ Judo Reichraming			0	0	https://www.sn.at/archivsn?img=hISJGEQtXlk11bO2GgF3%2BkD%2FZ7%2FCPW77UXVoT9SZzsCg7gWi0yCUB1JEwnrK5BL%2Bh10ElqpB9tXPCS6WpS%2BilyKt837y9GOJfuD1XqKIlVQvhvZs%2Bg%2BSmUxIsgzM2tvs&id1=19761025_17&q=judo%2520staatsliga#sn-archiv-17
	Judo Straßwalchen		Dorfinger			ASKÖ Judo Reichraming			0	0	https://www.sn.at/archivsn?img=hISJGEQtXlk11bO2GgF3%2BkD%2FZ7%2FCPW77UXVoT9SZzsCg7gWi0yCUB1JEwnrK5BL%2Bh10ElqpB9tXPCS6WpS%2BilyKt837y9GOJfuD1XqKIlVQvhvZs%2Bg%2BSmUxIsgzM2tvs&id1=19761025_17&q=judo%2520staatsliga#sn-archiv-17
	Judo Straßwalchen		Mayerhofer			ASKÖ Judo Reichraming			0	0	https://www.sn.at/archivsn?img=hISJGEQtXlk11bO2GgF3%2BkD%2FZ7%2FCPW77UXVoT9SZzsCg7gWi0yCUB1JEwnrK5BL%2Bh10ElqpB9tXPCS6WpS%2BilyKt837y9GOJfuD1XqKIlVQvhvZs%2Bg%2BSmUxIsgzM2tvs&id1=19761025_17&q=judo%2520staatsliga#sn-archiv-17
	Judo Straßwalchen		Huber			ASKÖ Judo Reichraming			0	0	https://www.sn.at/archivsn?img=hISJGEQtXlk11bO2GgF3%2BkD%2FZ7%2FCPW77UXVoT9SZzsCg7gWi0yCUB1JEwnrK5BL%2Bh10ElqpB9tXPCS6WpS%2BilyKt837y9GOJfuD1XqKIlVQvhvZs%2Bg%2BSmUxIsgzM2tvs&id1=19761025_17&q=judo%2520staatsliga#sn-archiv-17
	Judo Straßwalchen		Vogl			ASKÖ Judo Reichraming			0	0	https://www.sn.at/archivsn?img=hISJGEQtXlk11bO2GgF3%2BkD%2FZ7%2FCPW77UXVoT9SZzsCg7gWi0yCUB1JEwnrK5BL%2Bh10ElqpB9tXPCS6WpS%2BilyKt837y9GOJfuD1XqKIlVQvhvZs%2Bg%2BSmUxIsgzM2tvs&id1=19761025_17&q=judo%2520staatsliga#sn-archiv-17
	Judo Straßwalchen		Adam			ASKÖ Judo Reichraming			0	0	https://www.sn.at/archivsn?img=hISJGEQtXlk11bO2GgF3%2BkD%2FZ7%2FCPW77UXVoT9SZzsCg7gWi0yCUB1JEwnrK5BL%2Bh10ElqpB9tXPCS6WpS%2BilyKt837y9GOJfuD1XqKIlVQvhvZs%2Bg%2BSmUxIsgzM2tvs&id1=19761025_17&q=judo%2520staatsliga#sn-archiv-17
	Judo Straßwalchen		Dorfinger			ASKÖ Judo Reichraming			0	0	https://www.sn.at/archivsn?img=hISJGEQtXlk11bO2GgF3%2BkD%2FZ7%2FCPW77UXVoT9SZzsCg7gWi0yCUB1JEwnrK5BL%2Bh10ElqpB9tXPCS6WpS%2BilyKt837y9GOJfuD1XqKIlVQvhvZs%2Bg%2BSmUxIsgzM2tvs&id1=19761025_17&q=judo%2520staatsliga#sn-archiv-17
	Judo Straßwalchen		Mayerhofer			ASKÖ Judo Reichraming			0	0	https://www.sn.at/archivsn?img=hISJGEQtXlk11bO2GgF3%2BkD%2FZ7%2FCPW77UXVoT9SZzsCg7gWi0yCUB1JEwnrK5BL%2Bh10ElqpB9tXPCS6WpS%2BilyKt837y9GOJfuD1XqKIlVQvhvZs%2Bg%2BSmUxIsgzM2tvs&id1=19761025_17&q=judo%2520staatsliga#sn-archiv-17
	Judo Straßwalchen		Huber			ASKÖ Judo Reichraming			0	0	https://www.sn.at/archivsn?img=hISJGEQtXlk11bO2GgF3%2BkD%2FZ7%2FCPW77UXVoT9SZzsCg7gWi0yCUB1JEwnrK5BL%2Bh10ElqpB9tXPCS6WpS%2BilyKt837y9GOJfuD1XqKIlVQvhvZs%2Bg%2BSmUxIsgzM2tvs&id1=19761025_17&q=judo%2520staatsliga#sn-archiv-17
	Judo Straßwalchen		Vogl			ASKÖ Judo Reichraming			0	0	https://www.sn.at/archivsn?img=hISJGEQtXlk11bO2GgF3%2BkD%2FZ7%2FCPW77UXVoT9SZzsCg7gWi0yCUB1JEwnrK5BL%2Bh10ElqpB9tXPCS6WpS%2BilyKt837y9GOJfuD1XqKIlVQvhvZs%2Bg%2BSmUxIsgzM2tvs&id1=19761025_17&q=judo%2520staatsliga#sn-archiv-17
	Judo Straßwalchen		Dorfer			ASKÖ Judo Reichraming			0	0	https://www.sn.at/archivsn?img=hISJGEQtXlk11bO2GgF3%2BkD%2FZ7%2FCPW77UXVoT9SZzsCg7gWi0yCUB1JEwnrK5BL%2Bh10ElqpB9tXPCS6WpS%2BilyKt837y9GOJfuD1XqKIlVQvhvZs%2Bg%2BSmUxIsgzM2tvs&id1=19761025_17&q=judo%2520staatsliga#sn-archiv-17
	Judo Straßwalchen		Krempler			ASKÖ Judo Reichraming			0	0	https://www.sn.at/archivsn?img=hISJGEQtXlk11bO2GgF3%2BkD%2FZ7%2FCPW77UXVoT9SZzsCg7gWi0yCUB1JEwnrK5BL%2Bh10ElqpB9tXPCS6WpS%2BilyKt837y9GOJfuD1XqKIlVQvhvZs%2Bg%2BSmUxIsgzM2tvs&id1=19761025_17&q=judo%2520staatsliga#sn-archiv-17
	Judo Straßwalchen		Enter			ASKÖ Judo Reichraming			0	0	https://www.sn.at/archivsn?img=hISJGEQtXlk11bO2GgF3%2BkD%2FZ7%2FCPW77UXVoT9SZzsCg7gWi0yCUB1JEwnrK5BL%2Bh10ElqpB9tXPCS6WpS%2BilyKt837y9GOJfuD1XqKIlVQvhvZs%2Bg%2BSmUxIsgzM2tvs&id1=19761025_17&q=judo%2520staatsliga#sn-archiv-17
	Judo Straßwalchen		Pürstinger			ASKÖ Judo Reichraming			0	0	https://www.sn.at/archivsn?img=hISJGEQtXlk11bO2GgF3%2BkD%2FZ7%2FCPW77UXVoT9SZzsCg7gWi0yCUB1JEwnrK5BL%2Bh10ElqpB9tXPCS6WpS%2BilyKt837y9GOJfuD1XqKIlVQvhvZs%2Bg%2BSmUxIsgzM2tvs&id1=19761025_17&q=judo%2520staatsliga#sn-archiv-17
