Round	Playoffs	Team Name 1	Score 1	Subscore 1	Team Name 2	Score 2	Subscore 2	League	Season	CompetitionStart	Time	Location	Plz	City	Address	Venue	Source
10	P (Place 2/4) 2	SANDOKAN Galaxy Tigers	3	20	Judo UNION Raiffeisen Flachgau 1	10	90	Final4 Erste Judo-Bundesliga	2010	2010-11-06	14:30	SHS Niederwaldkirchen @ 4174 Niederwaldkirchen, Schallenbergstraße 11	4174	Niederwaldkirchen	Schallenbergstraße 11	SHS Niederwaldkirchen	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores |titel=Österreichische Judobundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20101124021035/http://www.judobundesliga.at/ergebnissescores |archiv-datum=2010-11-24 |abruf=2026-01-03}}/
10	P (Place 2/4) 1	UNION Judo Zentrum Mühlviertel 1	8	72	Judo UNION Raika Pinzgau	5	50	Final4 Erste Judo-Bundesliga	2010	2010-11-06	14:30	SHS Niederwaldkirchen @ 4174 Niederwaldkirchen, Schallenbergstraße 11	4174	Niederwaldkirchen	Schallenbergstraße 11	SHS Niederwaldkirchen	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores |titel=Österreichische Judobundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20101124021035/http://www.judobundesliga.at/ergebnissescores |archiv-datum=2010-11-24 |abruf=2026-01-03}}/
11	P (Place 1/2)	UNION Judo Zentrum Mühlviertel 1	4	37	Judo UNION Raiffeisen Flachgau 1	8	61	Final4 Erste Judo-Bundesliga	2010	2010-11-06	19:00	SHS Niederwaldkirchen @ 4174 Niederwaldkirchen, Schallenbergstraße 11	4174	Niederwaldkirchen	Schallenbergstraße 11	SHS Niederwaldkirchen	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores |titel=Österreichische Judobundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20101124021035/http://www.judobundesliga.at/ergebnissescores |archiv-datum=2010-11-24 |abruf=2026-01-03}}/
1	G	WSG Swarovski Judo Wattens	7	60	Judo UNION Raiffeisen Flachgau 1	7	70	Erste Judo-Bundesliga	2010	2010-03-12	20:00	Sporthalle Wattens @ 6112 Wattens, Egger-Lienz-Strasse 9	6112	Wattens	Egger-Lienz-Strasse 9	Sporthalle Wattens	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores |titel=Österreichische Judobundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20101124021035/http://www.judobundesliga.at/ergebnissescores |archiv-datum=2010-11-24 |abruf=2026-01-03}}/
1	G	LZ Multikraft Wels	7	70	Judoclub COLOP Samurai	6	55	Erste Judo-Bundesliga	2010	2010-03-13	20:00	Budokan Wels @ 4600 Wels, Pulverturmstraße 5	4600	Wels	Pulverturmstraße 5	Budokan Wels	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores |titel=Österreichische Judobundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20101124021035/http://www.judobundesliga.at/ergebnissescores |archiv-datum=2010-11-24 |abruf=2026-01-03}}/
1	G	Judo UNION Raika Pinzgau	6	60	SU Noricum Leibnitz 1	5	45	Erste Judo-Bundesliga	2010	2010-03-12	20:00	Tennishalle Rauriserhof @ 5661 Rauris, Marktstraße 6	5661	Rauris	Marktstraße 6	Tennishalle Rauriserhof	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores |titel=Österreichische Judobundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20101124021035/http://www.judobundesliga.at/ergebnissescores |archiv-datum=2010-11-24 |abruf=2026-01-03}}/
1	G	SANDOKAN Galaxy Tigers	8	75	UNION Judo Zentrum Mühlviertel 1	3	30	Erste Judo-Bundesliga	2010	2010-03-13	19:00	Lugner-City @ 1150 Wien, Gablenzgasse 5-13	1150	Wien	Gablenzgasse 5-13	Lugner-City	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores |titel=Österreichische Judobundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20101124021035/http://www.judobundesliga.at/ergebnissescores |archiv-datum=2010-11-24 |abruf=2026-01-03}}/
2	G	Judo UNION Raiffeisen Flachgau 1	11	110	SU Noricum Leibnitz 1	3	30	Erste Judo-Bundesliga	2010	2010-03-20	20:00	Gerhard Dorfingerhalle @ 5204 Straßwalchen, Aichbergstraße 1	5204	Straßwalchen	Aichbergstraße 1	Gerhard Dorfingerhalle	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores |titel=Österreichische Judobundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20101124021035/http://www.judobundesliga.at/ergebnissescores |archiv-datum=2010-11-24 |abruf=2026-01-03}}/
2	G	ULZ TECTUM Hohenems	7	62	LZ Multikraft Wels	5	42	Erste Judo-Bundesliga	2010	2010-03-19	20:00	Sporthauptschule Herrenried @ 6845 Hohenems, Schubertstraße 12	6845	Hohenems	Schubertstraße 12	Sporthauptschule Herrenried	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores |titel=Österreichische Judobundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20101124021035/http://www.judobundesliga.at/ergebnissescores |archiv-datum=2010-11-24 |abruf=2026-01-03}}/
2	G	UNION Judo Zentrum Mühlviertel 1	13	122	Judoclub COLOP Samurai	1	10	Erste Judo-Bundesliga	2010	2010-03-20	20:00	SHS Niederwaldkirchen @ 4174 Niederwaldkirchen, Schallenbergstraße 11	4174	Niederwaldkirchen	Schallenbergstraße 11	SHS Niederwaldkirchen	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores |titel=Österreichische Judobundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20101124021035/http://www.judobundesliga.at/ergebnissescores |archiv-datum=2010-11-24 |abruf=2026-01-03}}/
2	G	Judo UNION Raika Pinzgau	7	65	SANDOKAN Galaxy Tigers	7	62	Erste Judo-Bundesliga	2010	2010-03-20	19:00	Hauptschule Neukirchen @ 5741 Neukirchen am Großvenediger, Marktstraße 103	5741	Neukirchen am Großvenediger	Marktstraße 103	Hauptschule Neukirchen	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores |titel=Österreichische Judobundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20101124021035/http://www.judobundesliga.at/ergebnissescores |archiv-datum=2010-11-24 |abruf=2026-01-03}}/
3	G	SU Noricum Leibnitz 1	8	70	ULZ TECTUM Hohenems	6	52	Erste Judo-Bundesliga	2010	2010-04-10	19:00	Mehrzweckhalle Gralla @ 8430 Gralla, Obergralla 128	8430	Gralla	Obergralla 128	Mehrzweckhalle Gralla	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores |titel=Österreichische Judobundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20101124021035/http://www.judobundesliga.at/ergebnissescores |archiv-datum=2010-11-24 |abruf=2026-01-03}}/
3	G	UNION Judo Zentrum Mühlviertel 1	12	120	LZ Multikraft Wels	2	17	Erste Judo-Bundesliga	2010	2010-04-10	20:00	SHS Niederwaldkirchen @ 4174 Niederwaldkirchen, Schallenbergstraße 11	4174	Niederwaldkirchen	Schallenbergstraße 11	SHS Niederwaldkirchen	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores |titel=Österreichische Judobundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20101124021035/http://www.judobundesliga.at/ergebnissescores |archiv-datum=2010-11-24 |abruf=2026-01-03}}/
3	G	Judo UNION Raika Pinzgau	9	82	WSG Swarovski Judo Wattens	5	44	Erste Judo-Bundesliga	2010	2010-04-09	20:00	Mehrzweckhalle VS Saalbach @ 5753 Saalbach, Schulstraße 238	5753	Saalbach	Schulstraße 238	Mehrzweckhalle VS Saalbach	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores |titel=Österreichische Judobundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20101124021035/http://www.judobundesliga.at/ergebnissescores |archiv-datum=2010-11-24 |abruf=2026-01-03}}/
3	G	Judoclub COLOP Samurai	1	10	SANDOKAN Galaxy Tigers	8	67	Erste Judo-Bundesliga	2010	2010-04-09	20:00	Sportanlage Strebersdorf @ 1210 Wien, Anton Böck Gasse 22	1210	Wien	Anton Böck Gasse 22	Sportanlage Strebersdorf	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores |titel=Österreichische Judobundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20101124021035/http://www.judobundesliga.at/ergebnissescores |archiv-datum=2010-11-24 |abruf=2026-01-03}}/
4	G	ULZ TECTUM Hohenems	1	10	SANDOKAN Galaxy Tigers	13	118	Erste Judo-Bundesliga	2010	2010-05-28	20:00	Sporthauptschule Herrenried @ 6845 Hohenems, Schubertstraße 12	6845	Hohenems	Schubertstraße 12	Sporthauptschule Herrenried	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores |titel=Österreichische Judobundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20101124021035/http://www.judobundesliga.at/ergebnissescores |archiv-datum=2010-11-24 |abruf=2026-01-03}}/
4	G	UNION Judo Zentrum Mühlviertel 1	10	87	WSG Swarovski Judo Wattens	1	7	Erste Judo-Bundesliga	2010	2010-05-29	20:00	SHS Niederwaldkirchen @ 4174 Niederwaldkirchen, Schallenbergstraße 11	4174	Niederwaldkirchen	Schallenbergstraße 11	SHS Niederwaldkirchen	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores |titel=Österreichische Judobundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20101124021035/http://www.judobundesliga.at/ergebnissescores |archiv-datum=2010-11-24 |abruf=2026-01-03}}/
4	G	LZ Multikraft Wels	7	65	Judo UNION Raiffeisen Flachgau 1	6	57	Erste Judo-Bundesliga	2010	2010-05-29	20:00	Budokan Wels @ 4600 Wels, Pulverturmstraße 5	4600	Wels	Pulverturmstraße 5	Budokan Wels	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores |titel=Österreichische Judobundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20101124021035/http://www.judobundesliga.at/ergebnissescores |archiv-datum=2010-11-24 |abruf=2026-01-03}}/
4	G	Judo UNION Raika Pinzgau	9	80	Judoclub COLOP Samurai	2	17	Erste Judo-Bundesliga	2010	2010-05-29	19:00	Tennishalle Rauriserhof @ 5661 Rauris, Marktstraße 6	5661	Rauris	Marktstraße 6	Tennishalle Rauriserhof	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores |titel=Österreichische Judobundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20101124021035/http://www.judobundesliga.at/ergebnissescores |archiv-datum=2010-11-24 |abruf=2026-01-03}}/
5	G	WSG Swarovski Judo Wattens	8	75	SU Noricum Leibnitz 1	6	47	Erste Judo-Bundesliga	2010	2010-06-11	20:00	Sporthalle Wattens @ 6112 Wattens, Egger-Lienz-Strasse 9	6112	Wattens	Egger-Lienz-Strasse 9	Sporthalle Wattens	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores |titel=Österreichische Judobundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20101124021035/http://www.judobundesliga.at/ergebnissescores |archiv-datum=2010-11-24 |abruf=2026-01-03}}/
5	G	Judo UNION Raiffeisen Flachgau 1	6	55	Judo UNION Raika Pinzgau	6	52	Erste Judo-Bundesliga	2010	2010-06-12	19:00	Gerhard Dorfingerhalle @ 5204 Straßwalchen, Aichbergstraße 1	5204	Straßwalchen	Aichbergstraße 1	Gerhard Dorfingerhalle	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores |titel=Österreichische Judobundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20101124021035/http://www.judobundesliga.at/ergebnissescores |archiv-datum=2010-11-24 |abruf=2026-01-03}}/
5	G	Judoclub COLOP Samurai	14	0	ULZ TECTUM Hohenems	0	0	Erste Judo-Bundesliga	2010	2010-06-11	20:00	Sportanlage Strebersdorf @ 1210 Wien, Anton Böck Gasse 22	1210	Wien	Anton Böck Gasse 22	Sportanlage Strebersdorf	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores |titel=Österreichische Judobundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20101124021035/http://www.judobundesliga.at/ergebnissescores |archiv-datum=2010-11-24 |abruf=2026-01-03}}/
5	G	SANDOKAN Galaxy Tigers	10	100	LZ Multikraft Wels	3	30	Erste Judo-Bundesliga	2010	2010-06-12	19:00	Lugner-City @ 1150 Wien, Gablenzgasse 5-13	1150	Wien	Gablenzgasse 5-13	Lugner-City	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores |titel=Österreichische Judobundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20101124021035/http://www.judobundesliga.at/ergebnissescores |archiv-datum=2010-11-24 |abruf=2026-01-03}}/
6	G	WSG Swarovski Judo Wattens	10	85	Judoclub COLOP Samurai	3	27	Erste Judo-Bundesliga	2010	2010-06-25	20:00	Sporthalle Wattens @ 6112 Wattens, Egger-Lienz-Strasse 9	6112	Wattens	Egger-Lienz-Strasse 9	Sporthalle Wattens	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores |titel=Österreichische Judobundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20101124021035/http://www.judobundesliga.at/ergebnissescores |archiv-datum=2010-11-24 |abruf=2026-01-03}}/
6	G	LZ Multikraft Wels	4	40	Judo UNION Raika Pinzgau	10	95	Erste Judo-Bundesliga	2010	2010-06-25	20:00	Budokan Wels @ 4600 Wels, Pulverturmstraße 5	4600	Wels	Pulverturmstraße 5	Budokan Wels	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores |titel=Österreichische Judobundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20101124021035/http://www.judobundesliga.at/ergebnissescores |archiv-datum=2010-11-24 |abruf=2026-01-03}}/
6	G	Judo UNION Raiffeisen Flachgau 1	10	97	ULZ TECTUM Hohenems	4	37	Erste Judo-Bundesliga	2010	2010-07-09	20:00	Gerhard Dorfingerhalle @ 5204 Straßwalchen, Aichbergstraße 1	5204	Straßwalchen	Aichbergstraße 1	Gerhard Dorfingerhalle	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores |titel=Österreichische Judobundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20101124021035/http://www.judobundesliga.at/ergebnissescores |archiv-datum=2010-11-24 |abruf=2026-01-03}}/
6	G	UNION Judo Zentrum Mühlviertel 1	7	65	SU Noricum Leibnitz 1	5	50	Erste Judo-Bundesliga	2010	2010-06-26	20:00	SHS Niederwaldkirchen @ 4174 Niederwaldkirchen, Schallenbergstraße 11	4174	Niederwaldkirchen	Schallenbergstraße 11	SHS Niederwaldkirchen	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores |titel=Österreichische Judobundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20101124021035/http://www.judobundesliga.at/ergebnissescores |archiv-datum=2010-11-24 |abruf=2026-01-03}}/
7	G	SU Noricum Leibnitz 1	10	100	LZ Multikraft Wels	3	17	Erste Judo-Bundesliga	2010	2010-09-25	19:00	Mehrzweckhalle Gralla @ 8430 Gralla, Obergralla 128	8430	Gralla	Obergralla 128	Mehrzweckhalle Gralla	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores |titel=Österreichische Judobundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20101124021035/http://www.judobundesliga.at/ergebnissescores |archiv-datum=2010-11-24 |abruf=2026-01-03}}/
7	G	Judoclub COLOP Samurai	4	35	Judo UNION Raiffeisen Flachgau 1	9	80	Erste Judo-Bundesliga	2010	2010-09-25	15:00	Tag des Sports @ 1010 Wien, Heldenplatz	1010	Wien		Tag des Sports	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores |titel=Österreichische Judobundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20101124021035/http://www.judobundesliga.at/ergebnissescores |archiv-datum=2010-11-24 |abruf=2026-01-03}}/
7	G	WSG Swarovski Judo Wattens	6	50	SANDOKAN Galaxy Tigers	6	42	Erste Judo-Bundesliga	2010	2010-09-24	20:00	Sporthalle Wattens @ 6112 Wattens, Egger-Lienz-Strasse 9	6112	Wattens	Egger-Lienz-Strasse 9	Sporthalle Wattens	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores |titel=Österreichische Judobundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20101124021035/http://www.judobundesliga.at/ergebnissescores |archiv-datum=2010-11-24 |abruf=2026-01-03}}/
7	G	UNION Judo Zentrum Mühlviertel 1	12	111	ULZ TECTUM Hohenems	2	15	Erste Judo-Bundesliga	2010	2010-09-25	20:00	SHS Niederwaldkirchen @ 4174 Niederwaldkirchen, Schallenbergstraße 11	4174	Niederwaldkirchen	Schallenbergstraße 11	SHS Niederwaldkirchen	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores |titel=Österreichische Judobundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20101124021035/http://www.judobundesliga.at/ergebnissescores |archiv-datum=2010-11-24 |abruf=2026-01-03}}/
8	G	Judo UNION Raiffeisen Flachgau 1	7	57	UNION Judo Zentrum Mühlviertel 1	3	24	Erste Judo-Bundesliga	2010	2010-10-09	20:00	Gerhard Dorfingerhalle @ 5204 Straßwalchen, Aichbergstraße 1	5204	Straßwalchen	Aichbergstraße 1	Gerhard Dorfingerhalle	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores |titel=Österreichische Judobundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20101124021035/http://www.judobundesliga.at/ergebnissescores |archiv-datum=2010-11-24 |abruf=2026-01-03}}/
8	G	ULZ TECTUM Hohenems	4	40	Judo UNION Raika Pinzgau	10	100	Erste Judo-Bundesliga	2010	2010-10-08	20:00	Sporthauptschule Herrenried @ 6845 Hohenems, Schubertstraße 12	6845	Hohenems	Schubertstraße 12	Sporthauptschule Herrenried	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores |titel=Österreichische Judobundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20101124021035/http://www.judobundesliga.at/ergebnissescores |archiv-datum=2010-11-24 |abruf=2026-01-03}}/
