Source	Name	Playoff	ValidFrom	WeightClass00	WeightClass01	WeightClass02	WeightClass03	WeightClass04	WeightClass05	WeightClass06	WeightClass10	WeightClass11	WeightClass12	WeightClass13	WeightClass14	WeightClass15	WeightClass16	LeagueType	Sort	ValidTo	Year	Canceled
{{Internetquelle |url=https://www.sportaustria.at/fileadmin/Inhalte/Dokumente/Archiv/Staatsmeister/Staatsmeister_2012.pdf |titel=Österreichische Staatsmeister 2012 |hrsg=Österreichischen Bundes-Sportorganisation |datum=2015-03-09 |seiten=20 |sprache=de |abruf=2025-01-25}}	Österreichische Judo-Damen-Mannschaftsmeisterschaft																				2012	False
{{Internetquelle |url=https://www.judoaustria.at/damentitel-an-die-samurais/ |titel=Damentitel an die Samurais |werk=Judo Austria |datum=2011-12-04 |sprache=de-DE |abruf=2024-12-03}}	Österreichische Judo-Damen-Mannschaftsmeisterschaft																				2011	False
{{Internetquelle |url=https://www.judoaustria.at/hukuda-strubreiter-feiert-comeback-in-welshukuda-strubreiter-feiert-comeback-in-wels/ |titel=Hukuda-Strubreiter feiert Comeback in WelsHukuda-Strubreiter feiert Comeback in Wels |werk=Judo Austria |datum=2010-11-22 |sprache=de-DE |abruf=2024-12-03}}	Österreichische Judo-Damen-Mannschaftsmeisterschaft																				2010	False
	Österreichische Judo-Damen-Mannschaftsmeisterschaft																				2009	False
{{Internetquelle |url=https://www.nachrichten.at/oberoesterreich/wels/Welser-Judo-Ladys-sind-Staatsmeister;art67,66625 |titel=Welser Judo-Ladys sind Staatsmeister |sprache=de |abruf=2025-01-14}}	Österreichische Judo-Damen-Mannschaftsmeisterschaft																				2008	False
{{Internetquelle |url=https://web.archive.org/web/20080919112348if_/http://www.oejv.com/modules.php?name=News&new_topic=0&pagenum=9 |titel=News |hrsg=Judo Austria |sprache=de |abruf=2024-12-03 |kommentar=GRAZ — Bei der heute in der steirischen Landeshauptstadt stattgefundenen Judo-Mannschaftsmeisterschaft der Frauen holte Pinzgau den begehrten Titel. Es gab es folgendes Ergebnis}}	Österreichische Judo-Damen-Mannschaftsmeisterschaft																				2007	False
{{Internetquelle |url=https://web.archive.org/web/20080919112100if_/http://www.oejv.com/modules.php?name=News&new_topic=0&pagenum=20 |titel=Österreichischer Judo Verband: Austrian Judo Association |sprache=de |abruf=2024-12-03 |zitat=Die Judo Union Graz holte sich am Samstag den österreichischen Frauen-Mannschaftstitel mit einem spannenden 3:2 gegen COLOP Samurai Vienna.}}	Österreichische Judo-Damen-Mannschaftsmeisterschaft																				2006	False
{{Internetquelle |url=https://web.archive.org/web/20080919112216if_/http://www.oejv.com/modules.php?name=News&new_topic=0&pagenum=32 |titel=Österreichischer Judo Verband: Austrian Judo Association |abruf=2024-12-03 |kommentar=In der Sporthalle Mozartstraße in Wels fand am Samstag auch die Österreichische Meisterschaft für Frauen Mannschaften statt. Fünf Mannschaften traten um den Meistertitel an. Zum Schluss standen die Judoka von Union RAIKA Pinzgau als neue Österreichische Meister fest.}}	Österreichische Judo-Damen-Mannschaftsmeisterschaft																				2005	False
{{Internetquelle |url=https://web.archive.org/web/20080919112315if_/http://www.oejv.com/modules.php?name=News&new_topic=0&pagenum=43 |titel=Österreichischer Judo Verband: Austrian Judo Association |sprache=de |abruf=2024-12-03 |kommentar=COLOP Samurai zum zweiten Mal in Folge Meister; Im Rahmen des Weihnachtsturnieres des JLV-Wien wurde auch die Österreichische Meisterschaft für Frauen Mannschaften ausgetragen.}}	Österreichische Judo-Damen-Mannschaftsmeisterschaft																				2004	False
{{Internetquelle |url=https://web.archive.org/web/20040918153632/http://www.oejv.com/archive/arc11-2003.html |titel=Frauen-Mannschaftstitel ging nach Wien |werk=[[Judo Austria]] |hrsg=[[Judo Austria]] |datum=2004-09-18 |abruf=2024-12-07 |zitat=Heute fand in der Sporthalle in Wimpassing (NÖ) die Staatsmeisterschaft für Frauenmannschaften statt. Aus leider nur drei Mannschaften wurde der diesjährige Meister ermittelt.}}	Österreichische Judo-Damen-Mannschaftsmeisterschaft																				2003	False
	Österreichische Judo-Damen-Mannschaftsmeisterschaft																				2002	False
{{Internetquelle |url=https://www.sn.at/archivsn?img=u0eUr462T3h7SKPN%2FcH24J3d3HSrUDxAA3LmmBAyLJiL3FTxdPwM6%2BhUnpfZpToy2P00b6N7TEd%2BLuyTsMVar%2BjHcq%2BEWw9a2XKoL5sikiQ2k7Rby1gehiVornomCRDY&id1=20011203_20#slide20 |titel=JUDO |sprache=de |abruf=2025-01-30}}	Österreichische Judo-Damen-Mannschaftsmeisterschaft																				2001	False
{{Internetquelle |url=https://web.archive.org/web/20030929182400/http://asn.or.at/content/showarticle.asp?aid=11339 |titel=JGV Colop Samurai ist Meister |datum=2000-06-26 |sprache=de |abruf=2024-12-06 |zitat=Die Wiener Judoka sind die besten im Land. Präziser jene vom Klub Samurai. Dieser kann nämlich über den Titel bei den Damen jubeln. Während die Herren-Abteilung in der Staatsliga einen 10:4-Erfolg über ASV Salzburg feierte, krönten sich die Frauen von JGV Colop Samurai im Budocenter durch einen finalen 4:3-Sieg über ASVÖ Salzburg erstmals nach sieben Jahren wieder zum Meister.}}	Österreichische Judo-Damen-Mannschaftsmeisterschaft																				2000	False
{{Internetquelle |url=https://www.sn.at/archivsn?img=%2Fy5Fy0UEmWmTWkPt8S8aC7Xh155zlzwNxBFQjsjfBFBOMGKJMqLN%2Bb7%2BrtXa6mf9mSM1L22bE02W%2BM9tn0Jbhrhpr6SBhQHgJy8shM8ZdH1y28aaeEcOVZmu6VKSJp8a&id1=lo19991229_27#slide55 |titel=DIE SALZBURGER STAATSMEISTER 1999 - JUDO |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |datum=1999-12-29 |sprache=de |abruf=2025-01-25}}</ref><ref>{{Internetquelle |url=https://www.sn.at/archivsn?img=BIkFsTnT5wadTRjd1s%2BPJh3%2FffBFOmA1TooxzGAsFUSazi9FE8lwiIKX7ypMInfJTz1Dx0GaVO7dpdjMZrJB6uGQvKguRrsbNW0FcCuTBG5qnHxbb%2FqXkDRv7QLHolco&id1=lo19991025_14#slide73 |titel=Sportveranstaltungen am Feiertag JUDO |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |datum=1999-10-25 |sprache=de |abruf=2025-01-25}}{{Internetquelle |url=https://www.sn.at/archivsn?img=%2Fy5Fy0UEmWmTWkPt8S8aC7Xh155zlzwNxBFQjsjfBFBOMGKJMqLN%2Bb7%2BrtXa6mf9mSM1L22bE02W%2BM9tn0Jbhrhpr6SBhQHgJy8shM8ZdH1y28aaeEcOVZmu6VKSJp8a&id1=lo19991229_27#slide55}}	Österreichische Judo-Damen-Mannschaftsmeisterschaft																				1999	False
{{Internetquelle |url=https://www.sn.at/archivsn?img=Nd0Ir67Kowr9oQVSVIuOUVIRsqVOgzTyykb5aXIKzzyLhWrlCrdZuSfeF9iS9iwLcxU47SoDDcsb56ZkaT1NCXhGtHNzx6cHOTvFqGqv%2FfVKp9oIiw6%2FJdxqJRmqS%2FOd&id1=lo19980928_16&q=judo%2520schuh%2520ski%2520wien#slide44 {{Internetquelle |url=https://www.sn.at/archivsn?img=5qTvxmlB6AMNN3TqS81cQ7efpYts2TC1yYhw2gZ89RnFUQ1xHIGlNAEk0S0ePHzIME%2F4uXjDotzTKY8KUaPA5UlSUBb5xauB2iJrwLTP1HLZNCT%2FcKbnJZYhyGVfQUbO&id1=19980928_26#slide26 |titel=Judo |datum=1998-09-28 |sprache=de |abruf=2025-01-25}}	Österreichische Judo-Damen-Mannschaftsmeisterschaft																				1998	False
{{Internetquelle |url=https://www.sn.at/archivsn?img=P2R6WAgNaP7qRhDYqi9BB%2FMGhNKom%2BrqYglqbenDBBB5uy%2BWNvzUmfN3BlUGYB8e0RNv9VxWGeShb0WTvDBxv2o7BvcXcnxiltFLk4OAvhDrDfKoQFoQaifuNox0OL4V&id1=lo19970514_14#slide38 https://www.sn.at/archivsn?img=tQJSmzrPw0OL2BuqRkw1utRLeAZH3Lah8j9PY3WohCGXpQ9oVwn6TJ1UH1%2BTsWeS48XR54OZc%2FqWGkOUGMP2i8QDX0AZsKZ4ot4%2BHKc3qattgrPju2bfpq9j6pKmoxPe&id1=lo19971103_19#slide43 https://www.sn.at/archivsn?img=EkTmrYq8CxwvhHBtJEZG%2BhUJSrnX2wYgnMUX9naW7PlUpOJFMLoiz4yFZHOjLcMyGbo%2F%2FhoLZR3o9G4giGdimq%2F4ioCqwPNtS%2BgHIJk7XBmh0ef%2BoQ2EvCXGcfizXVBj&id1=lo19971121_15#slide43 https://www.sn.at/archivsn?img=FUFaVi18N7QtWAEaW0jCI2OysTe%2BIOLwgsKYOKw%2BvBd%2FR2OlVgin1Ficfgn5ojTGP4iKfTRBpRqq4A2mvXmyBR%2Fo05ELFfOWAEoV2IVJO9ATa5fZGaK%2FB2izJt1ImhSJ&id1=lo19971124_14#slide38}}	Österreichische Judo-Damen-Mannschaftsmeisterschaft																				1997	False
{{Internetquelle |url=https://www.sn.at/archivsn?img=k3CiXJ0oCfmGV1%2FdhTwvi8y%2FJJ8eL1CHJ1%2FYAaF5luUZ9OsLYuDaMEqQMadlIJPbucQcP%2FIqrI9PGL7UmSXKJZ27%2F1LTysmDlz%2BlFqisIfoRUPYjQbyf7gZsm2PM%2BOCM&id1=19961202_25#slide25	Österreichische Judo-Damen-Mannschaftsmeisterschaft																				1996	False
{{Internetquelle |url=https://www.sn.at/archivsn?img=QIFT0zvMmJ0TPnmihuNH%2B8xqpfTR8frdl%2FyWuTkUwNCM2ZU3Ro%2F35oDKNzQ9%2Fvz5t9v%2Bryen%2FvwK%2Fi8lt6up%2B7L0AO0yF4U%2F02huO%2FW7x4%2FK3pYohftgF6e3H%2BzoPg4T&id1=lo19951127_22#slide42}}{{Internetquelle |url=https://www.sn.at/archivsn?img=yQLTpXfvtEUvCR5iX4sJqeYo2G3yTEc8JbrvouBvz9JjYqiwQugHza%2F%2BliO%2Fr6EzKyRaeCwEcrsqOUHVz6QN9OcuQg7IZoZ2c7jQF2HdJqW%2Bp6KLgX0qY4SAJwDYoGhM&id1=lo19951124_14#slide38}}	Österreichische Judo-Damen-Mannschaftsmeisterschaft																				1995	False
{{Internetquelle |url=https://www.sn.at/archivsn?img=OdQwWRmPYy2zCwnVm94mEYzt2fd147v2adEjFq5mfg4S7IzXtq0b5lbWIpsXqr3waGFj9sYnzcgxPjJg8VNeykUZcLPAhrs6gNhhTKphJ2EsMk40NjIiBvEwnV9caXFF&id1=19941205_20#slide20}}{{Internetquelle |url=https://www.sn.at/archivsn?img=kAK7UhFOQBrDfz86UByOJUEyK2vSQMl%2F%2BqXihXy7xSExR5nlev5wi3D%2B45nLy%2Bz8cPgUyaNyM71sInpY9POMK2jZMr8xcxL3gIxwJ55A%2BRdVgw6xmRo29EaYr%2B4Y5A%2Bt&id1=19941203_38#slide38}}	Österreichische Judo-Damen-Mannschaftsmeisterschaft																				1994	False
	Österreichische Judo-Damen-Mannschaftsmeisterschaft																				1993	False
{{Internetquelle |url=https://www.sn.at/archivsn?img=3WholJXVyS9C5hFozudM9dBzyS7gLPQKptCcOyf1%2FASokV9XWU9TXux32jl5uisE1dQG6qf1jjcl1DkLUo62lnljOrRgOSraOzQJRKC6AN8nxAvmil0xsSGB%2F%2BCPH5x2&id1=19921205_38#slide38}}{{Internetquelle |url=https://www.sn.at/archivsn?img=u3keKe%2BlBAmviq%2F19rliq8qvNP2DVAb9I99J4PCydKLtnv3yexaoH%2FAS1e3U4qfwDwXvB35qzDTSOKc345cnhEhsZf1LfeXiuEfdAPncuX816Cvnlp%2BQQJqDlj6%2FZK4K&id1=19921207_22#slide22 https://www.sn.at/archivsn?img=p5bstsG6OEiq2XDIqQbPIaN%2FVMnoNpY%2FQP9YQH%2FP2ZIOCAwA0%2BZkkW1VN7TjtxcHjsqk7QYjRmIJrP7vypMCj5ZBTV%2BNHq6b8SL9dlPyHRRPzqqOByTH1MknZkpBaPM1&id1=19930102_32&q=damen%2520judo%2520wien#slide32}}	Österreichische Judo-Damen-Mannschaftsmeisterschaft																				1992	False
{{Internetquelle |url=https://www.sn.at/archivsn?img=sIlG8UKSIqrD2kdsALNrs3tpB35LXrxkD2oO3zkd72L60cZICE9qX7NEgawncPIf6l4jL6ZmZwUxxHgmyP4bOoRDkhUO6f%2BJ%2BGd2MEP%2FHh89szT2Q%2BVk8rSv1AFwOcFR&id1=19911126_22#slide22 |titel=Kurz Gemeldet Judo |abruf=2025-01-25}}	Österreichische Judo-Damen-Mannschaftsmeisterschaft																				1991	False
{{Internetquelle |url=https://www.sn.at/archivsn?img=msLzd%2BzdZCTvJjwWGmnEch1xbc0msIGKoJUEYgfsNFDUWaQhRTF4DYOL3TVbB9s6A3FqWqgXmFoJOf1chIJmac0l%2Bv7Skq4spz9CXDCwYba4aYoEUkAHWQ5QoDU0sZlr&id1=19901126_21#slide21 |titel=Elfter Titelgewinn für Wienerinnen |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |datum=1990-11-26 |seiten=1990 |sprache=de |abruf=2025-01-25}}	Österreichische Judo-Damen-Mannschaftsmeisterschaft																				1990	False
{{Internetquelle |url=https://www.sn.at/archivsn?img=CaQ1bp8xv5F3uvbqVCFlhX4qdbmrnwMN4vqtpgDiWUH%2BJ1vcGJj4ekANeO1R43BtF3OC4%2FNwg55270q9O2RUBG3eOeOjqhp2nsHLiZ94y3L%2FNWYbKvSzhQnO6ka4dgD2&id1=19891218_18#slide18 |titel=Meisterschaft im Damen-Judo |abruf=2025-01-25}}	Österreichische Judo-Damen-Mannschaftsmeisterschaft																				1989	False
	Österreichische Judo-Damen-Mannschaftsmeisterschaft																				1988	False
{{Internetquelle |url=https://www.sn.at/archivsn?img=L4zpmOTqUVzQoNHAVw2BsBqj2RkUt2J58hShbafafaioYxGb9uUSLnfo3P8fRlvJTZmkNyds8lNg9x4Yd49WtvmLLNYClY9m8He044m63yFtOW4if08CC5Q03DOXN%2BCh&id1=19871130_14#slide14 |titel=Salzburgs Judo-Damen Vize |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |datum=1987-11-30 |seiten=14 |sprache=de |abruf=2025-01-25}}	Österreichische Judo-Damen-Mannschaftsmeisterschaft																				1987	False
{{Internetquelle |url=https://www.sn.at/archivsn?img=nv2gPuSmuewzmnDIRuF63saMQ3wBgxdUjnowP1AcZq684fkr8SBkylpplv4scSNCImNGYdJNgpfyOJnVJ%2F78OIlRX7tIxCoAawiLQF1%2BfzJOl7Ydi8u2N7dsB91v52np&id1=19861201_14#slide14 |titel=Judo-Meisterschaft wurde zur Farce |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |datum=1986-12-01 |sprache=de |abruf=2024-01-17}}	Österreichische Judo-Damen-Mannschaftsmeisterschaft																				1986	False
	Österreichische Judo-Damen-Mannschaftsmeisterschaft																				1985	False
{{Internetquelle |url=https://www.sn.at/archivsn?img=Nwp5OntGr0cdiJdarqLo0V%2FSUcOTI25dQ%2BGyAKYEDX%2Ffdw5pfK37P%2B%2FVtQXu5AVbjWm2BqhmSfcDLES2SP1CiG%2FvcFA%2BP5UPKwVt80g46qCNtQ%2BQKNDvHYNNa%2BF0pfgF&id1=19841126_10#slide10 |titel=JGV Wien wieder Meister |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |datum=1984-11-26 |sprache=de |abruf=2025-01-25}}	Österreichische Judo-Damen-Mannschaftsmeisterschaft																				1984	False
	Österreichische Judo-Damen-Mannschaftsmeisterschaft																				1983	False
{{Internetquelle |url=https://www.sn.at/archivsn?img=8tZ8B0rJ%2BiVCrL1%2Fv%2Fhe1l1mFHZeJd40ZhLXh2umMl2fgy63LiMg8FZbD5PbPyIaJNd31r2zqqCaatZcdv6Ibu6CJbAKIKfzUypaVaD56ULoHBisQt8r2H8kFpiP4B3z&id1=19821220_16#slide16 |titel=PSV-Damen glückte Revanche |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |datum=1982-12-20 |sprache=de |abruf=2024-01-25}}	Österreichische Judo-Damen-Mannschaftsmeisterschaft																				1982	False
{{Internetquelle |url=https://www.sn.at/archivsn?img=NNHZ9EeUfv81TChW9YwSqmwCrhnOc2e7hMkQTja0t3xdmI39JJqVK5yQ4592ub5OG%2Fk3aGSlNadWMb6poHn2DK5jHq7zYjwfc99qozuhzdo%2BEnchtn4N9rWDcAZ8qrKT&id1=19811120_10#sn-archiv-10 |titel=Großkampftag im Judo |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |datum=1981-11-20 |seiten=12 |sprache=de |abruf=2025-01-14}}	Österreichische Judo-Damen-Mannschaftsmeisterschaft																				1981	False
https://www.judoaustria.at/liga-ergebnisse/?season=2024&leagueId=4	2. Judo Bundesliga Männer																				2024	False
https://www.judoaustria.at/gallery/bundesliga-final-four-2023/37370/?imageId=37750&highResolution=1; https://www.judo-kirchham.at/siegerehrung-fuer-den-meister-judo-union-kirchham-1-in-der-2-bundesliga-beim-final-4-der-1-bundesliga-in-gmunden/	2. Judo Bundesliga Männer																				2023	False
https://www.judoaustria.at/gallery/bundesliga-final-4/24495/?imageId=24929&highResolution=1	2. Judo Bundesliga Männer																				2022	False
	2. Judo Bundesliga Männer																				2021	False
https://www.judoaustria.at/liga-ranglisten/?season=2020	2. Judo Bundesliga Männer																				2020	True
https://www.judoaustria.at/bundesliga-titelentscheidung-mit-spannung-erwartet/	2. Judo Bundesliga Männer																				2019	False
https://www.judoaustria.at/final-four-tolles-judofest-in-gmunden/	2. Judo Bundesliga Männer																				2018	False
https://www.judoaustria.at/galaxy-dominanz-nicht-zu-brechen/	2. Judo Bundesliga Männer																				2017	False
https://www.judoaustria.at/kroenender-saisonabschluss-in-gmunden/	2. Judo Bundesliga Männer																				2016	False
https://www.judoaustria.at/das-war-das-final-four-2015/	2. Judo Bundesliga Männer																				2015	False
	2. Judo Bundesliga Männer																				2014	False
https://www.judoaustria.at/das-war-das-final-four-2013/	2. Judo Bundesliga Männer																				2013	False
	2. Judo Bundesliga Männer																				2012	False
	2. Judo Bundesliga Männer																				2011	False
	2. Judo Bundesliga Männer																				2010	False
	2. Judo Bundesliga Männer																				2009	False
	Österreichische Judo-Nationalliga																				2008	False
	Österreichische Judo-Nationalliga																				2007	False
	Österreichische Judo-Nationalliga																				2006	False
	Österreichische Judo-Nationalliga																				2005	False
	Österreichische Judo-Nationalliga																				2004	False
	Österreichische Judo-Nationalliga																				2003	False
	Österreichische Judo-Nationalliga																				2002	False
{{Internetquelle |url=http://www.asn.or.at/oejv/Ligen/NLiga2001.htm |titel=Austrian Judo Association - Österreichischer Judo Verband: Staatsliga 2000 |archiv-url=https://web.archive.org/web/20020819101807/http://www.asn.or.at/oejv/Ligen/NLiga2001.htm |archiv-datum=2002-08-19 |abruf=2026-01-05}}	Österreichische Judo-Nationalliga																				2001	False
{{Internetquelle |url=http://www.asn.or.at/oejv/Ligen/NLiga2000.htm |titel=Austrian Judo Association - Österreichischer Judo Verband : Staatsliga 2000 |archiv-url=https://web.archive.org/web/20021112205142/http://www.asn.or.at/oejv/Ligen/NLiga2000.htm |archiv-datum=2002-11-12 |abruf=2026-01-05}}	Österreichische Judo-Staatsliga B																				2000	False
{{Internetquelle |autor=Schoen |url=http://www.asn.or.at/oejv/Ligen/NLiga1999.htm |titel=Austrian Judo Association - Österreichischer Judo Verband: Nationalliga 1999 |archiv-url=https://web.archive.org/web/20021030064301/http://www.asn.or.at/oejv/Ligen/NLiga1999.htm |archiv-datum=2002-10-30 |abruf=2026-01-05}}	Österreichische Judo-Staatsliga B																				1999	False
	Österreichische Judo-Staatsliga B																				1998	False
	Österreichische Judo-Staatsliga B																				1997	False
	Österreichische Judo-Staatsliga B																				1996	False
	Österreichische Judo-Staatsliga B																				1995	False
	Österreichische Judo-Staatsliga B																				1994	False
	Österreichische Judo-Staatsliga B																				1993	False
	Österreichische Judo-Staatsliga B																				1992	False
	Österreichische Judo-Staatsliga B																				1991	False
	Österreichische Judo-Staatsliga B																				1990	False
	Österreichische Judo-Staatsliga B																				1989	False
	Österreichische Judo-Staatsliga B																				1988	False
	Österreichische Judo-Staatsliga B																				1987	False
	Österreichische Judo-Staatsliga B																				1986	False
	Österreichische Judo-Staatsliga B																				1985	False
	Österreichische Judo-Staatsliga B																				1984	False
	Österreichische Judo-Staatsliga B																				1983	False
	Österreichische Judo-Staatsliga B																				1982	False
	Österreichische Judo-Staatsliga B																				1981	False
	Österreichische Judo-Staatsliga B																				1980	False
	Österreichische Judo-Staatsliga B																				1979	False
	Österreichische Judo-Staatsliga B																				1978	False
	Österreichische Judo-Staatsliga B																				1977	False
	Österreichische Judo-Staatsliga B																				1976	False
	Österreichische Judo-Staatsliga B																				1975	False
	Österreichische Judo-Staatsliga B																				1974	False
